ID,1,2,3,4,5,6,7
1,14,12,20,12,6,4,3
2,7,12,20,12,9,4,3
3,7,12,15,8,6,2,1
4,14,12,20,4,9,4,1
5,7,12,20,8,6,4,3
6,7,12,20,12,3,4,3
7,21,12,20,4,3,6,3
8,7,18,5,8,6,4,3
9,7,12,20,8,6,4,3
10,7,18,20,12,6,4,2
11,7,12,20,8,3,4,1
12,14,12,20,8,6,4,3
13,7,18,15,8,9,4,1
14,7,12,5,8,9,4,3
15,14,12,20,8,6,4,1
16,7,12,10,8,6,4,3
17,7,12,10,8,9,4,1
18,7,12,20,8,9,4,3
19,7,12,20,8,6,4,3
20,21,12,20,8,6,2,1
21,21,12,20,8,6,4,1
22,14,12,20,12,6,4,3
23,7,12,20,4,6,2,1
24,7,12,20,12,6,4,1
25,7,18,20,12,6,4,1
26,21,12,20,8,9,4,3
27,7,12,20,8,9,4,3
28,7,12,15,8,6,4,1
29,7,18,15,12,6,4,2
30,7,12,20,8,3,2,3
31,7,12,10,8,9,4,3
32,7,12,20,8,6,4,3
33,14,12,20,4,9,4,3
34,7,12,20,8,6,2,3
35,7,12,20,12,9,2,3
36,14,12,20,12,6,4,3
37,14,12,20,8,6,4,1
38,7,12,20,8,6,4,3
39,7,12,15,12,9,4,1
40,7,12,15,8,6,4,3
41,7,12,20,8,9,4,1
42,7,18,15,12,3,4,2
43,7,18,15,8,3,4,1
44,7,12,20,8,6,4,3
45,7,12,15,8,9,4,3
46,7,12,20,8,6,4,1
47,7,12,15,8,6,6,1
48,7,12,20,8,9,4,1
49,7,12,20,8,9,4,1
50,7,12,20,12,6,4,3
51,14,12,20,8,6,4,3
52,21,12,20,8,6,4,3
53,7,12,15,8,9,4,1
54,7,12,15,12,9,2,1
55,7,12,20,12,6,4,1
56,7,12,10,8,6,4,1
57,7,12,20,8,9,4,3
58,21,12,20,8,6,4,3
59,7,12,20,8,6,4,2
60,14,18,20,12,6,2,3
61,7,12,20,8,6,4,2
62,7,12,15,8,6,4,1
63,7,12,20,8,9,4,1
64,14,12,10,12,6,4,3
65,14,12,20,12,6,2,2
66,7,12,20,8,9,4,1
67,7,12,15,8,6,4,3
68,7,12,15,8,9,2,1
69,7,12,20,8,9,4,1
70,7,12,5,8,6,4,1
71,7,12,20,12,3,2,3
72,7,18,20,8,9,4,3
73,14,12,20,12,9,4,3
74,7,12,20,12,6,4,3
75,7,12,20,8,9,4,3
76,7,12,20,4,9,4,1
77,7,12,20,4,6,4,1
78,7,18,15,12,6,4,3
79,7,12,20,12,9,4,3
80,7,12,15,8,9,4,1
81,7,18,15,12,6,4,1
82,7,12,20,8,9,4,3
83,7,12,20,8,6,4,3
84,7,18,20,8,6,4,3
85,14,12,15,12,9,4,3
86,7,12,20,8,6,4,3
87,7,12,20,8,6,4,1
88,7,12,5,4,9,4,1
89,7,12,20,12,6,4,1
90,7,12,20,8,6,6,1
91,7,12,15,8,6,6,3
92,7,12,20,8,9,4,3
93,7,12,10,8,9,4,1
94,21,12,20,8,9,4,3
95,7,12,15,8,6,4,1
96,7,18,20,8,6,4,3
97,14,6,20,8,6,4,3
98,14,12,15,8,9,4,3
99,7,12,15,8,9,4,3
100,7,12,20,8,6,4,3
101,7,12,15,8,6,4,1
102,7,12,15,4,9,4,1
103,7,12,20,4,6,4,1
104,7,12,20,12,6,4,3
105,7,12,20,8,6,4,3
106,14,18,5,8,6,2,3
107,7,12,20,4,9,4,3
108,7,12,20,8,6,2,3
109,7,12,20,12,6,4,3
110,7,12,5,8,6,4,1
111,7,12,20,4,9,4,1
112,7,12,20,8,6,4,1
113,14,12,15,12,9,2,3
114,7,12,15,8,6,4,3
115,7,12,15,8,9,4,1
116,7,12,20,8,9,6,3
117,7,18,20,8,6,4,3
118,7,12,5,8,6,4,3
119,7,12,20,8,6,2,3
120,7,12,5,8,6,4,3
121,7,12,20,8,9,4,1
122,7,12,15,12,9,2,3
123,7,18,20,12,9,4,3
124,7,12,15,8,6,4,1
125,14,12,15,12,6,4,3
126,7,18,5,8,6,4,3
127,7,12,15,8,6,2,3
128,7,12,20,12,6,4,3
